"cafe","afternoon","wait"
16,1,1.63149208851141
16,0,1.91984972272866
16,1,1.43906073445536
16,0,3.16539211000141
16,1,1.18501998247459
16,0,2.78996225757688
16,1,3.63575838401779
16,0,5.37974821865515
16,1,2.17393132801251
16,0,2.17735765605058
16,1,2.32172833405992
16,0,3.811142026072
16,1,2.04795597296939
16,0,3.64628728907908
16,1,1.39800018666848
16,0,2.50816677823005
16,1,3.13735390150858
16,0,3.09780560063756
16,1,1.33883484585975
16,0,4.92109016792399
16,1,2.18744826012001
16,0,5.36862985433735
16,1,1.48409491568024
16,0,3.30240886657061
16,1,2.8530272069018
16,0,4.04526292548702
16,1,2.25098427908197
16,0,3.57491844334946
16,1,1.43317531251349
16,0,4.48757096232412
16,1,3.15474115196011
17,0,4.40400366795919
17,1,3.57041862693585
17,0,5.42685882089879
17,1,3.48609003711136
17,0,6.1792113988019
17,1,3.43614481283966
17,0,2.63808537271845
17,1,2.50041160245056
17,0,5.44106660942415
17,1,2.93209931360798
17,0,4.0541224468368
17,1,3.85791205298888
17,0,3.35598709788093
17,1,4.53606736543042
17,0,4.98414847624946
17,1,2.21002376775698
17,0,4.28421649976342
17,1,4.90257343863157
17,0,5.44894215710454
17,1,2.91831907890001
17,0,2.86684614335126
17,1,3.66235097324857
17,0,3.85311780249081
17,1,4.67208619821716
17,0,4.50860846435336
17,1,4.00802458388332
17,0,3.27895180754847
17,1,2.18336974618297
17,0,4.85108468229258
17,1,3.06623997154043
17,0,2.84851852354479
17,1,2.54252542741044
17,0,3.09111607854822
17,1,3.07807362634038
17,0,4.08240477539488
17,1,2.47941226257194
17,0,4.689046883758
17,1,2.42817674363903
17,0,2.88442438562126
17,1,3.36799574331562
17,0,4.68080591345221
17,1,3.58659137284662
17,0,1.33177164418121
17,1,0.962741098372371
17,0,2.48582168041386
17,1,4.122442459993
17,0,3.17167317597353
17,1,2.42023949969283
18,0,5.51261269264105
18,1,3.41345118324736
18,0,6.05158892539226
18,1,5.86521175980507
18,0,3.80244746180518
18,1,4.94231626501374
18,0,6.85856936048632
18,1,4.06167953569114
18,0,5.90390179530228
18,1,5.20186557822643
18,0,7.71926124268343
18,1,2.76912025755674
18,0,6.1122846098649
18,1,4.95812510851513
18,0,5.07672610743432
18,1,6.71123757036141
18,0,6.34210852135386
18,1,5.74558802154286
18,0,5.30717948170555
18,1,5.75601320125995
18,0,5.20065489489679
18,1,4.50278002257639
18,0,6.41276257382617
18,1,4.48206901490222
18,0,6.00289733932057
18,1,5.68655021377265
18,0,4.04006086220071
18,1,5.20642469187864
18,0,5.39837519769576
18,1,5.89257272506911
18,0,5.4002071576928
18,1,5.77226580756217
18,0,6.40484743052948
18,1,4.43901118378957
18,0,8.02904978239688
18,1,5.87027972826617
18,0,6.80826372548179
18,1,5.55018079254605
18,0,7.56918049996592
18,1,6.1272761477306
18,0,6.6576029619004
18,1,3.99144993746559
18,0,5.12159077355559
18,1,4.41955896482915
18,0,5.50508542697868
18,1,4.88295121111625
18,0,5.18105505182478
18,1,5.41077587232909
19,0,3.80395431536279
19,1,0.412393708928508
19,0,2.88516680049998
19,1,3.62481529353889
19,0,1.95460862979161
19,1,2.76139639876276
19,0,3.00717926398944
19,1,3.58959398499227
19,0,2.00196558148878
19,1,2.20431688207786
19,0,3.93528076821071
19,1,2.40776913606889
19,0,3.09886738236095
19,1,5.12713252946174
19,0,2.9271373572766
19,1,1.13948543021892
19,0,4.51190384164456
19,1,2.27543188007371
19,0,2.46035659395403
19,1,3.79502742527733
19,0,3.44407893491934
19,1,5.3657630045409
19,0,3.02315876843215
19,1,3.31514617985858
19,0,3.50880378400817
19,1,1.3309406072006
19,0,3.40681479559479
19,1,4.92441335141327
19,0,3.92194283565799
19,1,1.92933149629983
19,0,3.72553481373138
19,1,3.00129343619231
19,0,4.16429469110464
19,1,1.71249380460366
19,0,4.05262775171328
19,1,3.75797312674147
19,0,2.52918202480258
19,1,1.60473962478353
19,0,3.74384389942489
19,1,3.41180385676909
19,0,5.18622814937439
19,1,3.59697344399127
19,0,4.78485751472172
19,1,4.92628428216562
19,0,4.5126917009912
19,1,3.63678989357309
19,0,3.08320218999556
19,1,1.61003136657055
20,0,3.78088864669645
20,1,3.57286009533828
20,0,4.50475026274145
20,1,3.06661197683033
20,0,5.13626628005746
20,1,2.42919097518347
20,0,5.66330247400297
20,1,2.70047733442543
20,0,4.31598172251086
20,1,2.17781199168555
20,0,3.69404941382475
20,1,2.68821914630019
20,0,3.62964832623231
20,1,2.70699050860008
20,0,2.39618004557273
20,1,3.38938878071477
20,0,2.62069335697588
20,1,3.14045089015655
20,0,3.3879090840395
20,1,1.47732711924592
20,0,4.23186095519478
20,1,1.30705975063447
20,0,5.70880633779833
20,1,3.28741375753812
20,0,4.70767856200181
20,1,1.1725057671898
20,0,4.37651719653371
20,1,1.76708694838197
20,0,5.13526474774324
20,1,2.45132951414038
20,0,0.739953039666387
20,1,2.4790331898725
20,0,3.50271209162221
20,1,3.90824990740834
20,0,3.82609490279007
20,1,3.0489011380825
20,0,4.30651790753996
20,1,3.33188457292749
20,0,3.85161469974457
20,1,2.45697384770394
20,0,2.85302840391702
20,1,2.835459263552
20,0,1.63648859152982
20,1,2.3984335087478
20,0,3.03420439721601
20,1,1.79206167689213
20,0,4.53283259908555
20,1,3.07741336759458
