"pupil","school","popular","sex","texp","teachpop"
13,5,4,"boy",5,3
14,5,7,"girl",5,4
15,5,5,"boy",5,4
16,5,5,"girl",5,4
17,5,5,"girl",5,3
18,5,4,"boy",5,3
19,5,5,"girl",5,5
20,5,5,"boy",5,4
21,5,4,"boy",5,4
1,6,4,"boy",8,3
2,6,4,"girl",8,3
3,6,4,"girl",8,2
4,6,5,"girl",8,4
5,6,5,"girl",8,4
6,6,4,"girl",8,4
7,6,4,"boy",8,3
8,6,4,"boy",8,2
9,6,6,"girl",8,4
10,6,5,"girl",8,3
11,6,3,"boy",8,3
12,6,4,"girl",8,3
13,6,4,"girl",8,3
14,6,4,"boy",8,2
15,6,5,"girl",8,4
16,6,3,"boy",8,2
17,6,4,"boy",8,3
18,6,4,"boy",8,4
19,6,4,"boy",8,3
20,6,4,"boy",8,3
1,7,7,"girl",17,5
2,7,6,"girl",17,5
3,7,4,"boy",17,4
4,7,4,"boy",17,4
5,7,5,"boy",17,4
6,7,7,"girl",17,5
7,7,5,"boy",17,4
8,7,7,"girl",17,5
9,7,5,"boy",17,4
10,7,6,"girl",17,6
11,7,5,"boy",17,4
12,7,5,"boy",17,4
13,7,6,"boy",17,5
14,7,6,"girl",17,5
15,7,5,"boy",17,4
16,7,5,"boy",17,4
17,7,7,"girl",17,5
18,7,5,"boy",17,4
19,7,8,"girl",17,5
20,7,7,"girl",17,5
21,7,4,"boy",17,5
1,8,7,"girl",12,6
2,8,4,"boy",12,4
3,8,6,"girl",12,5
4,8,7,"girl",12,5
5,8,6,"boy",12,6
6,8,7,"girl",12,5
7,8,5,"boy",12,5
8,8,6,"girl",12,6
9,8,4,"boy",12,4
10,8,6,"girl",12,5
11,8,4,"boy",12,4
12,8,4,"boy",12,5
13,8,4,"boy",12,5
14,8,7,"girl",12,5
15,8,4,"boy",12,5
16,8,5,"boy",12,5
17,8,7,"girl",12,5
18,8,6,"girl",12,5
19,8,7,"girl",12,5
20,8,6,"girl",12,5
1,9,4,"boy",9,2
2,9,5,"girl",9,4
3,9,5,"girl",9,4
4,9,6,"girl",9,4
5,9,5,"girl",9,4
6,9,3,"boy",9,4
7,9,3,"boy",9,3
8,9,4,"boy",9,3
9,9,4,"boy",9,2
10,9,4,"boy",9,4
11,9,2,"boy",9,2
12,9,4,"girl",9,2
13,9,3,"boy",9,4
14,9,3,"boy",9,2
15,9,2,"boy",9,3
16,9,3,"boy",9,4
17,9,5,"girl",9,4
18,9,6,"girl",9,3
19,9,4,"girl",9,3
20,9,4,"boy",9,3
1,10,5,"boy",21,5
2,10,5,"girl",21,5
3,10,4,"boy",21,3
4,10,5,"girl",21,4
5,10,5,"boy",21,3
6,10,4,"girl",21,4
7,10,5,"boy",21,3
8,10,5,"boy",21,5
9,10,5,"girl",21,4
10,10,5,"girl",21,3
11,10,5,"boy",21,5
12,10,5,"boy",21,3
13,10,5,"girl",21,4
14,10,5,"boy",21,4
15,10,6,"boy",21,4
16,10,4,"boy",21,4
17,10,5,"boy",21,4
18,10,4,"boy",21,3
19,10,4,"girl",21,3
20,10,5,"girl",21,4
21,10,5,"girl",21,4
22,10,5,"girl",21,3
23,10,5,"girl",21,4
24,10,5,"girl",21,4
1,11,5,"boy",11,4
2,11,6,"girl",11,4
3,11,5,"girl",11,4
4,11,5,"boy",11,4
5,11,5,"boy",11,4
6,11,6,"girl",11,5
7,11,4,"boy",11,4
8,11,6,"girl",11,6
9,11,6,"girl",11,5
10,11,6,"girl",11,4
11,11,4,"boy",11,4
12,11,6,"boy",11,5
13,11,5,"boy",11,4
14,11,6,"girl",11,5
15,11,6,"girl",11,5
16,11,5,"boy",11,4
17,11,5,"boy",11,4
18,11,5,"boy",11,5
19,11,5,"boy",11,5
20,11,7,"girl",11,4
21,11,6,"girl",11,6
22,11,5,"boy",11,4
1,12,5,"boy",16,5
2,12,5,"girl",16,4
3,12,6,"girl",16,5
4,12,5,"girl",16,4
5,12,5,"girl",16,5
6,12,6,"boy",16,4
7,12,5,"boy",16,5
8,12,5,"boy",16,5
9,12,5,"girl",16,5
10,12,5,"girl",16,4
11,12,5,"boy",16,4
12,12,5,"boy",16,4
13,12,5,"girl",16,4
14,12,6,"boy",16,4
15,12,5,"boy",16,5
16,12,5,"boy",16,4
17,12,5,"boy",16,5
2,13,7,"girl",19,5
3,13,6,"girl",19,5
4,13,5,"boy",19,4
5,13,5,"boy",19,4
6,13,6,"girl",19,6
7,13,5,"girl",19,4
8,13,5,"boy",19,4
9,13,7,"girl",19,6
10,13,5,"boy",19,4
11,13,6,"boy",19,6
12,13,7,"girl",19,4
13,13,7,"girl",19,6
14,13,5,"boy",19,4
15,13,7,"girl",19,5
16,13,5,"boy",19,4
17,13,6,"boy",19,5
18,13,7,"girl",19,4
19,13,6,"girl",19,4
20,13,7,"girl",19,4
21,13,6,"girl",19,4
1,14,3,"boy",2,2
2,14,3,"boy",2,2
3,14,4,"girl",2,3
4,14,3,"boy",2,4
5,14,4,"girl",2,3
6,14,4,"boy",2,3
7,14,3,"boy",2,4
8,14,4,"boy",2,3
9,14,3,"boy",2,4
10,14,3,"boy",2,2
11,14,3,"boy",2,4
12,14,4,"girl",2,4
13,14,3,"boy",2,2
14,14,5,"girl",2,3
15,14,3,"boy",2,2
16,14,5,"girl",2,4
17,14,3,"boy",2,3
1,15,5,"boy",8,5
2,15,4,"boy",8,5
3,15,4,"boy",8,4
4,15,5,"boy",8,4
5,15,6,"boy",8,4
6,15,5,"girl",8,4
7,15,6,"girl",8,4
8,15,5,"girl",8,4
9,15,5,"boy",8,4
10,15,5,"boy",8,5
11,15,5,"girl",8,5
12,15,6,"boy",8,5
13,15,6,"boy",8,4
14,15,6,"girl",8,4
15,15,5,"boy",8,4
16,15,6,"girl",8,4
17,15,5,"boy",8,5
18,15,7,"girl",8,5
19,15,5,"boy",8,4
20,15,6,"girl",8,4
21,15,6,"boy",8,4
22,15,5,"boy",8,4
23,15,4,"boy",8,4
24,15,5,"boy",8,4
1,16,7,"girl",11,6
2,16,7,"girl",11,6
3,16,8,"girl",11,7
4,16,8,"girl",11,6
5,16,6,"girl",11,6
6,16,5,"boy",11,6
7,16,7,"girl",11,5
8,16,5,"boy",11,6
9,16,7,"girl",11,6
10,16,7,"girl",11,6
11,16,6,"girl",11,5
12,16,7,"girl",11,6
13,16,7,"girl",11,6
14,16,5,"boy",11,5
15,16,7,"girl",11,5
16,16,6,"girl",11,6
17,16,8,"girl",11,6
1,17,5,"boy",16,4
2,17,5,"girl",16,4
3,17,4,"boy",16,4
4,17,3,"boy",16,4
5,17,4,"girl",16,4
6,17,4,"boy",16,4
7,17,5,"girl",16,5
8,17,5,"girl",16,4
9,17,5,"girl",16,4
10,17,5,"girl",16,5
11,17,4,"girl",16,4
12,17,5,"boy",16,5
13,17,4,"boy",16,4
14,17,4,"girl",16,4
15,17,5,"boy",16,4
16,17,5,"girl",16,4
17,17,4,"girl",16,4
18,17,4,"girl",16,5
19,17,5,"boy",16,4
20,17,5,"girl",16,4
21,17,5,"girl",16,5
22,17,4,"boy",16,4
23,17,4,"boy",16,5
24,17,5,"boy",16,5
25,17,4,"boy",16,5
26,17,3,"boy",16,4
1,18,6,"boy",21,5
2,18,7,"girl",21,5
3,18,7,"boy",21,6
4,18,6,"boy",21,6
5,18,6,"boy",21,5
6,18,7,"girl",21,5
7,18,5,"boy",21,4
8,18,7,"girl",21,5
9,18,6,"boy",21,5
10,18,6,"girl",21,6
11,18,7,"boy",21,5
12,18,8,"girl",21,6
13,18,6,"boy",21,5
14,18,5,"boy",21,5
15,18,7,"girl",21,6
16,18,5,"boy",21,4
17,18,5,"boy",21,5
18,18,8,"girl",21,5
19,18,7,"girl",21,5
20,18,6,"girl",21,5
21,18,5,"boy",21,5
1,19,5,"girl",16,4
2,19,5,"boy",16,4
3,19,4,"boy",16,4
4,19,6,"girl",16,5
5,19,6,"boy",16,4
6,19,5,"boy",16,4
7,19,4,"boy",16,4
8,19,6,"girl",16,4
9,19,5,"boy",16,4
10,19,6,"girl",16,4
11,19,6,"girl",16,4
12,19,4,"boy",16,5
14,19,6,"girl",16,4
15,19,6,"girl",16,4
16,19,4,"boy",16,5
17,19,7,"girl",16,4
18,19,6,"girl",16,4
19,19,5,"boy",16,4
20,19,6,"girl",16,4
21,19,4,"boy",16,5
1,20,5,"girl",10,4
2,20,5,"girl",10,4
3,20,5,"girl",10,4
4,20,5,"girl",10,4
5,20,5,"girl",10,4
6,20,6,"girl",10,4
7,20,5,"girl",10,5
8,20,3,"boy",10,3
9,20,5,"girl",10,5
10,20,4,"boy",10,4
11,20,4,"boy",10,3
12,20,5,"girl",10,3
13,20,4,"boy",10,3
14,20,6,"girl",10,5
15,20,6,"girl",10,5
17,20,3,"boy",10,3
18,20,5,"girl",10,4
19,20,4,"girl",10,5
20,20,5,"girl",10,4
21,20,3,"boy",10,3
1,21,6,"girl",17,5
2,21,7,"girl",17,5
3,21,7,"girl",17,5
4,21,8,"girl",17,5
5,21,5,"boy",17,5
6,21,5,"boy",17,5
7,21,6,"boy",17,5
8,21,6,"girl",17,5
9,21,6,"boy",17,5
10,21,6,"boy",17,5
11,21,7,"girl",17,5
12,21,5,"boy",17,5
13,21,5,"boy",17,5
14,21,5,"boy",17,5
15,21,7,"girl",17,5
16,21,5,"boy",17,5
17,21,6,"boy",17,5
18,21,8,"girl",17,5
19,21,7,"girl",17,6
20,21,7,"girl",17,6
21,21,7,"girl",17,5
22,21,5,"girl",17,5
23,21,6,"girl",17,5
1,22,5,"girl",11,4
2,22,4,"girl",11,3
3,22,6,"girl",11,5
4,22,5,"girl",11,3
5,22,4,"boy",11,4
6,22,4,"boy",11,3
7,22,4,"boy",11,5
8,22,5,"girl",11,4
9,22,4,"girl",11,4
10,22,4,"boy",11,4
11,22,3,"boy",11,3
12,22,4,"boy",11,4
13,22,5,"girl",11,5
14,22,4,"girl",11,4
15,22,3,"boy",11,3
16,22,4,"girl",11,3
17,22,4,"boy",11,5
18,22,5,"girl",11,5
19,22,5,"girl",11,3
20,22,5,"girl",11,5
1,23,5,"boy",15,5
2,23,6,"girl",15,5
3,23,6,"girl",15,5
4,23,5,"boy",15,5
5,23,6,"girl",15,5
6,23,6,"girl",15,5
7,23,5,"girl",15,5
8,23,4,"boy",15,5
9,23,6,"boy",15,5
10,23,5,"boy",15,5
11,23,5,"boy",15,5
12,23,6,"girl",15,6
13,23,5,"boy",15,5
14,23,7,"girl",15,6
15,23,6,"girl",15,6
16,23,5,"boy",15,5
17,23,5,"girl",15,4
18,23,5,"boy",15,4
19,23,6,"girl",15,5
20,23,4,"boy",15,5
21,23,5,"boy",15,5
22,23,5,"boy",15,5
1,24,3,"boy",6,4
2,24,4,"boy",6,2
3,24,5,"girl",6,3
4,24,5,"girl",6,4
5,24,4,"girl",6,3
6,24,5,"girl",6,4
7,24,4,"boy",6,3
8,24,4,"girl",6,3
9,24,4,"boy",6,3
10,24,4,"girl",6,3
11,24,4,"boy",6,2
12,24,4,"boy",6,4
13,24,3,"boy",6,4
14,24,4,"boy",6,2
15,24,3,"boy",6,4
16,24,6,"girl",6,4
17,24,4,"girl",6,2
18,24,6,"girl",6,4
19,24,3,"boy",6,3
1,25,6,"boy",19,5
2,25,7,"girl",19,5
3,25,7,"girl",19,5
4,25,7,"girl",19,5
5,25,7,"girl",19,5
6,25,6,"boy",19,5
7,25,6,"boy",19,5
8,25,7,"girl",19,6
9,25,7,"girl",19,6
10,25,6,"boy",19,5
11,25,7,"girl",19,6
12,25,6,"boy",19,5
13,25,7,"girl",19,5
14,25,6,"girl",19,5
15,25,7,"girl",19,5
16,25,6,"boy",19,5
17,25,5,"boy",19,5
18,25,7,"boy",19,5
19,25,6,"boy",19,5
20,25,6,"boy",19,5
1,26,4,"girl",10,3
2,26,4,"girl",10,4
3,26,4,"boy",10,4
4,26,4,"girl",10,3
5,26,4,"boy",10,3
6,26,5,"girl",10,4
7,26,5,"girl",10,4
8,26,4,"boy",10,3
9,26,3,"boy",10,4
10,26,4,"boy",10,4
11,26,5,"girl",10,3
12,26,4,"boy",10,3
13,26,5,"girl",10,4
14,26,4,"boy",10,3
15,26,4,"boy",10,4
16,26,4,"girl",10,3
17,26,5,"girl",10,4
18,26,3,"girl",10,4
19,26,4,"boy",10,4
20,26,3,"boy",10,3
21,26,5,"girl",10,4
1,27,5,"boy",10,4
2,27,5,"boy",10,5
3,27,6,"boy",10,4
4,27,5,"boy",10,4
5,27,5,"boy",10,4
6,27,4,"boy",10,5
7,27,6,"boy",10,6
8,27,6,"boy",10,4
9,27,6,"girl",10,5
10,27,6,"boy",10,6
11,27,6,"girl",10,4
12,27,6,"girl",10,4
13,27,5,"boy",10,4
14,27,7,"girl",10,4
15,27,6,"girl",10,6
16,27,6,"girl",10,4
17,27,5,"boy",10,4
18,27,6,"boy",10,6
19,27,4,"boy",10,5
20,27,5,"boy",10,4
1,28,5,"boy",13,5
2,28,5,"girl",13,5
3,28,4,"boy",13,4
4,28,3,"boy",13,4
5,28,5,"girl",13,4
6,28,6,"girl",13,4
7,28,4,"boy",13,5
8,28,5,"girl",13,4
9,28,5,"girl",13,4
10,28,5,"girl",13,4
11,28,4,"boy",13,5
12,28,5,"boy",13,4
13,28,4,"girl",13,4
14,28,4,"boy",13,4
15,28,5,"girl",13,4
16,28,4,"boy",13,4
17,28,5,"girl",13,5
18,28,4,"boy",13,4
19,28,5,"girl",13,4
20,28,5,"girl",13,5
1,29,5,"girl",22,5
2,29,5,"boy",22,4
3,29,5,"boy",22,4
4,29,5,"boy",22,4
5,29,6,"girl",22,5
6,29,6,"girl",22,4
7,29,5,"boy",22,4
8,29,6,"girl",22,4
9,29,5,"girl",22,4
10,29,5,"girl",22,5
12,29,5,"boy",22,4
13,29,4,"boy",22,4
14,29,5,"girl",22,5
15,29,7,"girl",22,5
16,29,5,"girl",22,4
17,29,6,"girl",22,4
18,29,4,"boy",22,4
1,30,5,"boy",6,4
2,30,5,"boy",6,4
3,30,5,"girl",6,4
4,30,5,"boy",6,4
5,30,6,"girl",6,5
6,30,4,"boy",6,4
7,30,4,"boy",6,5
8,30,5,"girl",6,4
9,30,4,"boy",6,4
10,30,7,"girl",6,4
11,30,5,"boy",6,5
12,30,5,"girl",6,4
13,30,6,"girl",6,4
14,30,5,"boy",6,5
15,30,6,"girl",6,4
16,30,6,"girl",6,4
17,30,6,"girl",6,4
1,31,4,"boy",6,4
2,31,5,"girl",6,5
4,31,5,"girl",6,4
5,31,5,"girl",6,4
6,31,4,"boy",6,4
7,31,6,"girl",6,4
8,31,5,"girl",6,5
9,31,5,"girl",6,4
10,31,4,"boy",6,4
11,31,5,"boy",6,4
12,31,4,"boy",6,5
13,31,4,"boy",6,4
14,31,4,"boy",6,4
15,31,5,"boy",6,5
16,31,5,"boy",6,4
17,31,5,"girl",6,5
18,31,4,"boy",6,5
19,31,4,"boy",6,4
20,31,5,"girl",6,4
1,32,6,"girl",12,5
2,32,4,"boy",12,4
3,32,6,"girl",12,5
4,32,6,"girl",12,4
5,32,4,"boy",12,4
6,32,4,"boy",12,4
7,32,4,"boy",12,4
8,32,7,"girl",12,6
9,32,4,"boy",12,4
10,32,7,"girl",12,6
11,32,7,"girl",12,5
12,32,4,"boy",12,4
13,32,7,"girl",12,6
14,32,4,"boy",12,5
15,32,6,"girl",12,4
16,32,5,"boy",12,4
17,32,4,"boy",12,4
18,32,4,"boy",12,4
19,32,4,"boy",12,4
20,32,5,"girl",12,5
21,32,4,"boy",12,5
22,32,6,"girl",12,4
23,32,7,"girl",12,6
1,33,4,"boy",3,4
2,33,6,"girl",3,4
3,33,6,"boy",3,4
4,33,5,"girl",3,5
5,33,4,"boy",3,4
6,33,4,"boy",3,4
7,33,6,"girl",3,4
8,33,5,"girl",3,5
9,33,4,"boy",3,4
10,33,7,"girl",3,5
11,33,5,"girl",3,4
12,33,4,"girl",3,4
13,33,5,"girl",3,5
14,33,4,"boy",3,4
15,33,5,"girl",3,4
16,33,4,"boy",3,5
17,33,6,"girl",3,4
18,33,6,"girl",3,5
19,33,6,"girl",3,4
1,34,5,"boy",8,5
2,34,5,"boy",8,5
3,34,6,"girl",8,6
4,34,5,"boy",8,5
5,34,5,"boy",8,5
6,34,4,"boy",8,5
7,34,5,"boy",8,5
8,34,5,"boy",8,5
9,34,6,"girl",8,6
10,34,5,"boy",8,4
11,34,5,"boy",8,5
12,34,6,"girl",8,5
13,34,4,"boy",8,5
14,34,6,"boy",8,5
15,34,6,"girl",8,6
16,34,5,"boy",8,5
17,34,5,"boy",8,4
18,34,6,"girl",8,5
19,34,5,"boy",8,5
20,34,6,"boy",8,5
21,34,6,"girl",8,5
22,34,6,"girl",8,5
1,35,7,"boy",25,5
2,35,6,"girl",25,5
3,35,7,"girl",25,5
4,35,6,"girl",25,6
5,35,7,"girl",25,5
6,35,6,"girl",25,5
7,35,7,"boy",25,5
8,35,7,"girl",25,5
9,35,7,"boy",25,5
10,35,8,"girl",25,7
11,35,6,"boy",25,5
12,35,7,"boy",25,5
13,35,7,"girl",25,5
14,35,7,"boy",25,5
15,35,7,"girl",25,5
16,35,6,"girl",25,6
17,35,7,"girl",25,6
18,35,6,"boy",25,5
19,35,8,"boy",25,6
20,35,6,"girl",25,5
1,36,6,"girl",15,4
2,36,4,"boy",15,4
3,36,4,"boy",15,4
4,36,4,"boy",15,4
5,36,5,"boy",15,4
6,36,6,"girl",15,5
7,36,6,"girl",15,5
8,36,6,"girl",15,4
9,36,5,"boy",15,5
10,36,7,"girl",15,5
11,36,5,"boy",15,5
12,36,4,"boy",15,4
13,36,6,"girl",15,4
14,36,5,"girl",15,4
15,36,5,"boy",15,4
16,36,6,"girl",15,4
17,36,5,"boy",15,5
18,36,5,"boy",15,5
19,36,5,"boy",15,4
1,37,7,"boy",20,5
2,37,6,"girl",20,6
3,37,6,"girl",20,5
4,37,8,"girl",20,5
5,37,6,"boy",20,5
6,37,6,"boy",20,5
7,37,7,"boy",20,5
8,37,6,"girl",20,6
9,37,6,"boy",20,5
10,37,5,"boy",20,5
11,37,6,"girl",20,5
12,37,6,"boy",20,5
13,37,6,"boy",20,5
14,37,5,"boy",20,5
15,37,6,"boy",20,5
16,37,5,"boy",20,5
17,37,6,"boy",20,5
18,37,6,"girl",20,5
19,37,7,"girl",20,5
1,38,6,"boy",18,5
2,38,5,"boy",18,4
3,38,6,"boy",18,5
4,38,5,"girl",18,4
5,38,5,"girl",18,5
6,38,4,"girl",18,5
7,38,5,"girl",18,4
8,38,6,"boy",18,6
9,38,5,"girl",18,4
10,38,6,"boy",18,4
11,38,6,"boy",18,4
12,38,5,"boy",18,4
13,38,5,"boy",18,4
14,38,5,"boy",18,4
15,38,6,"girl",18,6
16,38,5,"girl",18,5
17,38,6,"boy",18,4
1,39,6,"girl",19,5
2,39,5,"girl",19,5
3,39,4,"boy",19,5
4,39,5,"boy",19,4
5,39,6,"girl",19,5
6,39,6,"girl",19,6
7,39,6,"girl",19,5
8,39,7,"girl",19,6
9,39,6,"girl",19,6
10,39,5,"girl",19,5
11,39,5,"boy",19,4
12,39,5,"boy",19,5
13,39,5,"boy",19,5
14,39,6,"girl",19,6
15,39,4,"boy",19,5
16,39,6,"girl",19,6
1,40,6,"girl",2,5
2,40,5,"boy",2,4
3,40,6,"girl",2,5
4,40,6,"girl",2,6
5,40,5,"girl",2,4
6,40,6,"boy",2,5
7,40,6,"boy",2,5
8,40,6,"boy",2,5
9,40,5,"girl",2,4
10,40,5,"boy",2,4
11,40,5,"boy",2,4
12,40,6,"boy",2,6
13,40,5,"girl",2,4
14,40,4,"girl",2,4
15,40,7,"girl",2,4
16,40,5,"boy",2,4
17,40,5,"boy",2,5
18,40,4,"boy",2,4
19,40,7,"girl",2,5
20,40,4,"boy",2,4
1,41,6,"girl",18,5
2,41,5,"boy",18,5
3,41,5,"boy",18,5
4,41,6,"girl",18,4
5,41,5,"boy",18,4
6,41,5,"boy",18,5
7,41,5,"boy",18,4
8,41,6,"girl",18,4
9,41,5,"girl",18,4
10,41,5,"girl",18,4
11,41,6,"girl",18,6
12,41,5,"boy",18,4
13,41,4,"boy",18,4
14,41,6,"boy",18,4
15,41,6,"girl",18,6
16,41,5,"girl",18,4
17,41,6,"girl",18,4
18,41,6,"girl",18,5
19,41,5,"boy",18,5
1,42,6,"girl",12,5
2,42,4,"boy",12,4
3,42,5,"boy",12,4
4,42,7,"girl",12,5
5,42,5,"boy",12,4
6,42,6,"girl",12,4
7,42,6,"boy",12,5
8,42,6,"girl",12,5
9,42,6,"girl",12,5
10,42,5,"girl",12,4
11,42,4,"boy",12,4
12,42,5,"girl",12,4
13,42,6,"girl",12,6
14,42,7,"girl",12,4
15,42,5,"boy",12,4
16,42,4,"boy",12,4
17,42,7,"girl",12,5
18,42,4,"boy",12,4
19,42,6,"girl",12,6
20,42,6,"girl",12,5
21,42,7,"girl",12,6
1,43,4,"boy",12,4
2,43,5,"girl",12,5
3,43,4,"boy",12,4
4,43,4,"girl",12,4
5,43,5,"girl",12,5
6,43,4,"girl",12,4
7,43,4,"boy",12,4
8,43,4,"boy",12,4
9,43,4,"girl",12,4
10,43,4,"boy",12,4
11,43,4,"boy",12,4
12,43,4,"boy",12,5
13,43,4,"boy",12,5
14,43,5,"boy",12,4
15,43,5,"boy",12,5
16,43,5,"boy",12,4
17,43,5,"boy",12,5
1,44,5,"boy",14,5
2,44,8,"girl",14,5
3,44,7,"girl",14,5
4,44,5,"girl",14,5
5,44,6,"boy",14,6
6,44,5,"boy",14,5
7,44,5,"girl",14,5
8,44,5,"boy",14,5
9,44,5,"boy",14,5
10,44,6,"boy",14,5
11,44,5,"boy",14,5
12,44,6,"girl",14,5
13,44,5,"girl",14,5
14,44,6,"girl",14,5
15,44,7,"girl",14,5
16,44,6,"boy",14,6
17,44,6,"boy",14,6
18,44,6,"girl",14,6
19,44,4,"boy",14,5
1,45,6,"boy",20,5
2,45,7,"girl",20,6
3,45,6,"girl",20,5
4,45,6,"girl",20,5
5,45,6,"boy",20,6
6,45,7,"boy",20,6
7,45,6,"boy",20,5
8,45,6,"girl",20,6
9,45,7,"boy",20,5
10,45,7,"girl",20,6
11,45,7,"boy",20,5
12,45,7,"boy",20,5
13,45,6,"boy",20,6
14,45,7,"boy",20,5
15,45,6,"boy",20,5
16,45,6,"boy",20,5
17,45,6,"girl",20,5
18,45,7,"boy",20,5
19,45,7,"boy",20,5
1,46,6,"girl",18,5
2,46,6,"girl",18,6
3,46,7,"girl",18,5
4,46,6,"boy",18,5
5,46,5,"boy",18,5
6,46,5,"boy",18,5
7,46,7,"girl",18,6
8,46,8,"girl",18,6
9,46,6,"boy",18,5
10,46,6,"girl",18,6
11,46,6,"girl",18,5
12,46,6,"girl",18,5
13,46,7,"girl",18,5
14,46,7,"girl",18,5
15,46,6,"boy",18,6
16,46,6,"boy",18,5
17,46,7,"girl",18,5
18,46,5,"boy",18,5
19,46,7,"girl",18,5
20,46,6,"girl",18,5
21,46,7,"girl",18,6
22,46,7,"girl",18,6
23,46,6,"boy",18,5
1,47,4,"girl",13,3
2,47,4,"boy",13,3
3,47,3,"girl",13,2
4,47,3,"boy",13,3
5,47,4,"boy",13,3
6,47,4,"girl",13,3
7,47,4,"boy",13,3
8,47,4,"girl",13,2
9,47,4,"girl",13,3
10,47,4,"girl",13,2
11,47,4,"boy",13,3
12,47,4,"girl",13,3
13,47,3,"boy",13,2
14,47,3,"boy",13,2
15,47,4,"girl",13,2
16,47,5,"girl",13,3
17,47,3,"boy",13,2
1,48,5,"girl",6,5
2,48,4,"boy",6,3
3,48,5,"boy",6,4
4,48,4,"boy",6,5
5,48,5,"boy",6,4
6,48,5,"boy",6,4
7,48,5,"girl",6,4
8,48,6,"girl",6,3
9,48,4,"boy",6,3
10,48,6,"girl",6,4
11,48,4,"boy",6,4
12,48,5,"boy",6,4
13,48,6,"girl",6,3
14,48,5,"girl",6,3
15,48,5,"boy",6,5
16,48,5,"girl",6,4
17,48,6,"girl",6,4
18,48,5,"boy",6,3
19,48,3,"boy",6,3
1,49,6,"girl",7,4
2,49,5,"girl",7,3
3,49,4,"boy",7,4
4,49,5,"girl",7,4
5,49,5,"girl",7,3
6,49,4,"boy",7,3
7,49,5,"girl",7,3
8,49,4,"boy",7,3
9,49,4,"boy",7,3
10,49,5,"girl",7,4
11,49,5,"girl",7,4
12,49,6,"girl",7,3
13,49,6,"girl",7,3
14,49,3,"boy",7,4
15,49,5,"girl",7,4
16,49,4,"boy",7,4
17,49,3,"boy",7,3
18,49,6,"girl",7,3
19,49,4,"boy",7,4
20,49,4,"boy",7,3
1,50,7,"boy",25,6
2,50,8,"girl",25,7
3,50,7,"girl",25,6
4,50,7,"boy",25,6
5,50,6,"boy",25,6
6,50,7,"girl",25,6
7,50,7,"boy",25,6
8,50,6,"boy",25,5
9,50,6,"boy",25,6
10,50,6,"boy",25,5
11,50,7,"girl",25,6
12,50,7,"boy",25,6
13,50,8,"girl",25,6
14,50,8,"boy",25,6
15,50,8,"boy",25,7
16,50,8,"girl",25,6
17,50,6,"boy",25,6
18,50,6,"girl",25,6
