"response","id","age","male","action","intention","contact"
3,"96;480",32,1,1,0,0
5,"96;480",32,1,1,0,0
3,"96;480",32,1,1,0,0
2,"96;480",32,1,1,0,0
3,"96;480",32,1,1,0,0
5,"96;480",32,1,0,0,0
6,"96;480",32,1,0,0,0
2,"96;480",32,1,0,0,0
3,"96;480",32,1,0,0,0
4,"96;480",32,1,0,0,0
5,"96;480",32,1,1,1,0
6,"96;480",32,1,1,1,0
2,"96;480",32,1,1,1,0
3,"96;480",32,1,1,1,0
2,"96;480",32,1,1,1,0
4,"96;480",32,1,0,1,0
5,"96;480",32,1,0,1,0
3,"96;480",32,1,0,1,0
4,"96;480",32,1,0,1,0
4,"96;480",32,1,0,1,0
3,"96;480",32,1,0,1,0
3,"96;480",32,1,1,0,0
5,"96;481",49,1,0,0,1
5,"96;481",49,1,0,0,1
6,"96;481",49,1,0,0,1
5,"96;481",49,1,0,1,1
5,"96;481",49,1,0,1,1
5,"96;481",49,1,0,1,1
6,"96;481",49,1,1,0,0
6,"96;481",49,1,1,0,0
5,"96;481",49,1,1,0,0
5,"96;481",49,1,1,0,0
4,"96;481",49,1,1,0,0
6,"96;481",49,1,1,0,0
5,"96;481",49,1,1,0,0
7,"96;481",49,1,0,0,0
3,"96;481",49,1,0,0,0
4,"96;481",49,1,0,0,0
5,"96;481",49,1,0,0,0
5,"96;481",49,1,0,0,0
5,"96;481",49,1,1,1,0
5,"96;481",49,1,1,1,0
2,"96;481",49,1,1,1,0
6,"96;481",49,1,1,1,0
5,"96;481",49,1,1,1,0
3,"96;481",49,1,0,1,0
5,"96;481",49,1,0,1,0
5,"96;481",49,1,0,1,0
3,"96;481",49,1,0,1,0
5,"96;481",49,1,0,1,0
5,"96;481",49,1,0,1,0
5,"96;481",49,1,1,0,0
5,"96;497",44,0,0,0,1
5,"96;497",44,0,0,0,1
5,"96;497",44,0,0,0,1
2,"96;497",44,0,0,1,1
5,"96;497",44,0,0,1,1
2,"96;497",44,0,0,1,1
5,"96;497",44,0,1,0,0
4,"96;497",44,0,1,0,0
5,"96;497",44,0,1,0,0
6,"96;497",44,0,1,0,0
5,"96;497",44,0,1,0,0
1,"96;497",44,0,1,0,0
5,"96;497",44,0,1,0,0
7,"96;497",44,0,0,0,0
5,"96;497",44,0,0,0,0
7,"96;497",44,0,0,0,0
5,"96;497",44,0,0,0,0
5,"96;497",44,0,0,0,0
6,"96;497",44,0,1,1,0
2,"96;497",44,0,1,1,0
1,"96;497",44,0,1,1,0
4,"96;497",44,0,1,1,0
2,"96;497",44,0,1,1,0
5,"96;497",44,0,0,1,0
6,"96;497",44,0,0,1,0
7,"96;497",44,0,0,1,0
6,"96;497",44,0,0,1,0
4,"96;497",44,0,0,1,0
6,"96;497",44,0,0,1,0
6,"96;497",44,0,1,0,0
6,"96;498",27,1,0,0,1
6,"96;498",27,1,0,0,1
3,"96;498",27,1,0,0,1
1,"96;498",27,1,0,1,1
5,"96;498",27,1,0,1,1
3,"96;498",27,1,0,1,1
6,"96;498",27,1,1,0,0
7,"96;498",27,1,1,0,0
7,"96;498",27,1,1,0,0
7,"96;498",27,1,1,0,0
7,"96;498",27,1,1,0,0
6,"96;498",27,1,1,0,0
7,"96;498",27,1,1,0,0
7,"96;498",27,1,0,0,0
7,"96;498",27,1,0,0,0
7,"96;498",27,1,0,0,0
5,"96;498",27,1,0,0,0
7,"96;498",27,1,0,0,0
6,"96;498",27,1,1,1,0
5,"96;498",27,1,1,1,0
7,"96;498",27,1,1,1,0
7,"96;498",27,1,1,1,0
7,"96;498",27,1,1,1,0
7,"96;498",27,1,0,1,0
7,"96;498",27,1,0,1,0
7,"96;498",27,1,0,1,0
6,"96;498",27,1,0,1,0
1,"96;498",27,1,0,1,0
1,"96;498",27,1,0,1,0
5,"96;498",27,1,1,0,0
4,"96;502",28,1,0,0,1
4,"96;502",28,1,0,0,1
4,"96;502",28,1,0,0,1
2,"96;502",28,1,0,1,1
4,"96;502",28,1,0,1,1
4,"96;502",28,1,0,1,1
4,"96;502",28,1,1,0,0
4,"96;502",28,1,1,0,0
4,"96;502",28,1,1,0,0
4,"96;502",28,1,1,0,0
4,"96;502",28,1,1,0,0
4,"96;502",28,1,1,0,0
4,"96;502",28,1,1,0,0
4,"96;502",28,1,0,0,0
5,"96;502",28,1,0,0,0
4,"96;502",28,1,0,0,0
4,"96;502",28,1,0,0,0
4,"96;502",28,1,0,0,0
4,"96;502",28,1,1,1,0
3,"96;502",28,1,1,1,0
4,"96;502",28,1,1,1,0
5,"96;502",28,1,1,1,0
4,"96;502",28,1,1,1,0
4,"96;502",28,1,0,1,0
4,"96;502",28,1,0,1,0
4,"96;502",28,1,0,1,0
4,"96;502",28,1,0,1,0
4,"96;502",28,1,0,1,0
4,"96;502",28,1,0,1,0
4,"96;502",28,1,1,0,0
5,"96;505",30,0,0,0,1
5,"96;505",30,0,0,0,1
4,"96;505",30,0,0,0,1
3,"96;505",30,0,0,1,1
1,"96;505",30,0,0,1,1
2,"96;505",30,0,0,1,1
4,"96;505",30,0,1,0,0
4,"96;505",30,0,1,0,0
4,"96;505",30,0,1,0,0
7,"96;505",30,0,1,0,0
4,"96;505",30,0,1,0,0
4,"96;505",30,0,1,0,0
4,"96;505",30,0,1,0,0
4,"96;505",30,0,0,0,0
4,"96;505",30,0,0,0,0
2,"96;505",30,0,0,0,0
4,"96;505",30,0,0,0,0
3,"96;505",30,0,0,0,0
2,"96;505",30,0,1,1,0
1,"96;505",30,0,1,1,0
1,"96;505",30,0,1,1,0
4,"96;505",30,0,1,1,0
4,"96;505",30,0,1,1,0
2,"96;505",30,0,0,1,0
2,"96;505",30,0,0,1,0
3,"96;505",30,0,0,1,0
4,"96;505",30,0,0,1,0
7,"96;505",30,0,0,1,0
1,"96;505",30,0,0,1,0
4,"96;505",30,0,1,0,0
6,"96;511",26,1,0,0,1
7,"96;511",26,1,0,0,1
6,"96;511",26,1,0,0,1
4,"96;511",26,1,0,1,1
6,"96;511",26,1,0,1,1
5,"96;511",26,1,0,1,1
7,"96;511",26,1,1,0,0
5,"96;511",26,1,1,0,0
5,"96;511",26,1,1,0,0
6,"96;511",26,1,1,0,0
6,"96;511",26,1,1,0,0
6,"96;511",26,1,1,0,0
6,"96;511",26,1,1,0,0
6,"96;511",26,1,0,0,0
6,"96;511",26,1,0,0,0
2,"96;511",26,1,0,0,0
6,"96;511",26,1,0,0,0
5,"96;511",26,1,0,0,0
6,"96;511",26,1,1,1,0
5,"96;511",26,1,1,1,0
4,"96;511",26,1,1,1,0
7,"96;511",26,1,1,1,0
6,"96;511",26,1,1,1,0
2,"96;511",26,1,0,1,0
6,"96;511",26,1,0,1,0
6,"96;511",26,1,0,1,0
6,"96;511",26,1,0,1,0
5,"96;511",26,1,0,1,0
6,"96;511",26,1,0,1,0
6,"96;511",26,1,1,0,0
5,"96;512",36,1,0,0,1
1,"96;512",36,1,0,0,1
1,"96;512",36,1,0,0,1
1,"96;512",36,1,0,1,1
1,"96;512",36,1,0,1,1
1,"96;512",36,1,0,1,1
4,"96;512",36,1,1,0,0
1,"96;512",36,1,1,0,0
1,"96;512",36,1,1,0,0
1,"96;512",36,1,1,0,0
4,"96;512",36,1,1,0,0
1,"96;512",36,1,1,0,0
1,"96;512",36,1,1,0,0
7,"96;512",36,1,0,0,0
7,"96;512",36,1,0,0,0
7,"96;512",36,1,0,0,0
6,"96;512",36,1,0,0,0
7,"96;512",36,1,0,0,0
1,"96;512",36,1,1,1,0
1,"96;512",36,1,1,1,0
1,"96;512",36,1,1,1,0
4,"96;512",36,1,1,1,0
1,"96;512",36,1,1,1,0
2,"96;512",36,1,0,1,0
7,"96;512",36,1,0,1,0
1,"96;512",36,1,0,1,0
3,"96;512",36,1,0,1,0
7,"96;512",36,1,0,1,0
7,"96;512",36,1,0,1,0
1,"96;512",36,1,1,0,0
4,"96;518",53,0,0,0,1
7,"96;518",53,0,0,0,1
7,"96;518",53,0,0,0,1
1,"96;518",53,0,0,1,1
7,"96;518",53,0,0,1,1
4,"96;518",53,0,0,1,1
7,"96;518",53,0,1,0,0
7,"96;518",53,0,1,0,0
7,"96;518",53,0,1,0,0
7,"96;518",53,0,1,0,0
1,"96;518",53,0,1,0,0
7,"96;518",53,0,1,0,0
7,"96;518",53,0,1,0,0
4,"96;518",53,0,0,0,0
4,"96;518",53,0,0,0,0
4,"96;518",53,0,0,0,0
4,"96;518",53,0,0,0,0
2,"96;518",53,0,0,0,0
4,"96;518",53,0,1,1,0
7,"96;518",53,0,1,1,0
1,"96;518",53,0,1,1,0
1,"96;518",53,0,1,1,0
7,"96;518",53,0,1,1,0
1,"96;518",53,0,0,1,0
4,"96;518",53,0,0,1,0
7,"96;518",53,0,0,1,0
7,"96;518",53,0,0,1,0
7,"96;518",53,0,0,1,0
7,"96;518",53,0,0,1,0
7,"96;518",53,0,1,0,0
5,"96;519",36,1,0,0,1
5,"96;519",36,1,0,0,1
2,"96;519",36,1,0,0,1
1,"96;519",36,1,0,1,1
7,"96;519",36,1,0,1,1
1,"96;519",36,1,0,1,1
5,"96;519",36,1,1,0,0
1,"96;519",36,1,1,0,0
3,"96;519",36,1,1,0,0
7,"96;519",36,1,1,0,0
3,"96;519",36,1,1,0,0
1,"96;519",36,1,1,0,0
4,"96;519",36,1,1,0,0
1,"96;519",36,1,0,0,0
6,"96;519",36,1,0,0,0
7,"96;519",36,1,0,0,0
4,"96;519",36,1,0,0,0
4,"96;519",36,1,0,0,0
2,"96;519",36,1,1,1,0
5,"96;519",36,1,1,1,0
1,"96;519",36,1,1,1,0
2,"96;519",36,1,1,1,0
1,"96;519",36,1,1,1,0
3,"96;519",36,1,0,1,0
7,"96;519",36,1,0,1,0
3,"96;519",36,1,0,1,0
4,"96;519",36,1,0,1,0
2,"96;519",36,1,0,1,0
4,"96;519",36,1,0,1,0
2,"96;519",36,1,1,0,0
5,"96;531",23,0,0,0,1
5,"96;531",23,0,0,0,1
3,"96;531",23,0,0,0,1
3,"96;531",23,0,0,1,1
2,"96;531",23,0,0,1,1
1,"96;531",23,0,0,1,1
4,"96;531",23,0,1,0,0
3,"96;531",23,0,1,0,0
3,"96;531",23,0,1,0,0
6,"96;531",23,0,1,0,0
3,"96;531",23,0,1,0,0
2,"96;531",23,0,1,0,0
3,"96;531",23,0,1,0,0
4,"96;531",23,0,0,0,0
2,"96;531",23,0,0,0,0
2,"96;531",23,0,0,0,0
4,"96;531",23,0,0,0,0
3,"96;531",23,0,0,0,0
5,"96;531",23,0,1,1,0
3,"96;531",23,0,1,1,0
1,"96;531",23,0,1,1,0
3,"96;531",23,0,1,1,0
2,"96;531",23,0,1,1,0
3,"96;531",23,0,0,1,0
2,"96;531",23,0,0,1,0
2,"96;531",23,0,0,1,0
3,"96;531",23,0,0,1,0
4,"96;531",23,0,0,1,0
5,"96;531",23,0,0,1,0
4,"96;531",23,0,1,0,0
4,"96;533",23,0,0,0,1
3,"96;533",23,0,0,0,1
4,"96;533",23,0,0,0,1
3,"96;533",23,0,0,1,1
3,"96;533",23,0,0,1,1
2,"96;533",23,0,0,1,1
4,"96;533",23,0,1,0,0
3,"96;533",23,0,1,0,0
3,"96;533",23,0,1,0,0
4,"96;533",23,0,1,0,0
3,"96;533",23,0,1,0,0
5,"96;533",23,0,1,0,0
4,"96;533",23,0,1,0,0
5,"96;533",23,0,0,0,0
4,"96;533",23,0,0,0,0
5,"96;533",23,0,0,0,0
5,"96;533",23,0,0,0,0
4,"96;533",23,0,0,0,0
3,"96;533",23,0,1,1,0
3,"96;533",23,0,1,1,0
3,"96;533",23,0,1,1,0
4,"96;533",23,0,1,1,0
3,"96;533",23,0,1,1,0
5,"96;533",23,0,0,1,0
4,"96;533",23,0,0,1,0
6,"96;533",23,0,0,1,0
4,"96;533",23,0,0,1,0
5,"96;533",23,0,0,1,0
4,"96;533",23,0,0,1,0
4,"96;533",23,0,1,0,0
4,"96;538",39,0,0,0,1
5,"96;538",39,0,0,0,1
2,"96;538",39,0,0,0,1
1,"96;538",39,0,0,1,1
1,"96;538",39,0,0,1,1
1,"96;538",39,0,0,1,1
5,"96;538",39,0,1,0,0
2,"96;538",39,0,1,0,0
6,"96;538",39,0,1,0,0
6,"96;538",39,0,1,0,0
1,"96;538",39,0,1,0,0
2,"96;538",39,0,1,0,0
4,"96;538",39,0,1,0,0
2,"96;538",39,0,0,0,0
3,"96;538",39,0,0,0,0
4,"96;538",39,0,0,0,0
3,"96;538",39,0,0,0,0
2,"96;538",39,0,0,0,0
1,"96;538",39,0,1,1,0
1,"96;538",39,0,1,1,0
1,"96;538",39,0,1,1,0
2,"96;538",39,0,1,1,0
1,"96;538",39,0,1,1,0
3,"96;538",39,0,0,1,0
5,"96;538",39,0,0,1,0
2,"96;538",39,0,0,1,0
2,"96;538",39,0,0,1,0
3,"96;538",39,0,0,1,0
1,"96;538",39,0,0,1,0
2,"96;538",39,0,1,0,0
6,"96;547",26,1,0,0,1
1,"96;547",26,1,0,0,1
2,"96;547",26,1,0,0,1
1,"96;547",26,1,0,1,1
2,"96;547",26,1,0,1,1
1,"96;547",26,1,0,1,1
6,"96;547",26,1,1,0,0
2,"96;547",26,1,1,0,0
6,"96;547",26,1,1,0,0
3,"96;547",26,1,1,0,0
5,"96;547",26,1,1,0,0
2,"96;547",26,1,1,0,0
5,"96;547",26,1,1,0,0
6,"96;547",26,1,0,0,0
6,"96;547",26,1,0,0,0
6,"96;547",26,1,0,0,0
5,"96;547",26,1,0,0,0
7,"96;547",26,1,0,0,0
5,"96;547",26,1,1,1,0
1,"96;547",26,1,1,1,0
2,"96;547",26,1,1,1,0
6,"96;547",26,1,1,1,0
2,"96;547",26,1,1,1,0
3,"96;547",26,1,0,1,0
7,"96;547",26,1,0,1,0
4,"96;547",26,1,0,1,0
6,"96;547",26,1,0,1,0
6,"96;547",26,1,0,1,0
6,"96;547",26,1,0,1,0
4,"96;547",26,1,1,0,0
1,"96;550",14,1,0,0,1
1,"96;550",14,1,0,0,1
1,"96;550",14,1,0,0,1
1,"96;550",14,1,0,1,1
1,"96;550",14,1,0,1,1
1,"96;550",14,1,0,1,1
1,"96;550",14,1,1,0,0
1,"96;550",14,1,1,0,0
1,"96;550",14,1,1,0,0
1,"96;550",14,1,1,0,0
2,"96;550",14,1,1,0,0
1,"96;550",14,1,1,0,0
1,"96;550",14,1,1,0,0
1,"96;550",14,1,0,0,0
1,"96;550",14,1,0,0,0
1,"96;550",14,1,0,0,0
1,"96;550",14,1,0,0,0
1,"96;550",14,1,0,0,0
1,"96;550",14,1,1,1,0
1,"96;550",14,1,1,1,0
1,"96;550",14,1,1,1,0
1,"96;550",14,1,1,1,0
1,"96;550",14,1,1,1,0
7,"96;550",14,1,0,1,0
1,"96;550",14,1,0,1,0
1,"96;550",14,1,0,1,0
1,"96;550",14,1,0,1,0
1,"96;550",14,1,0,1,0
1,"96;550",14,1,0,1,0
1,"96;550",14,1,1,0,0
3,"96;553",56,0,0,0,1
2,"96;553",56,0,0,0,1
4,"96;553",56,0,0,0,1
2,"96;553",56,0,0,1,1
2,"96;553",56,0,0,1,1
2,"96;553",56,0,0,1,1
2,"96;553",56,0,1,0,0
2,"96;553",56,0,1,0,0
4,"96;553",56,0,1,0,0
2,"96;553",56,0,1,0,0
2,"96;553",56,0,1,0,0
2,"96;553",56,0,1,0,0
2,"96;553",56,0,1,0,0
2,"96;553",56,0,0,0,0
4,"96;553",56,0,0,0,0
4,"96;553",56,0,0,0,0
2,"96;553",56,0,0,0,0
6,"96;553",56,0,0,0,0
4,"96;553",56,0,1,1,0
2,"96;553",56,0,1,1,0
4,"96;553",56,0,1,1,0
4,"96;553",56,0,1,1,0
2,"96;553",56,0,1,1,0
2,"96;553",56,0,0,1,0
3,"96;553",56,0,0,1,0
2,"96;553",56,0,0,1,0
2,"96;553",56,0,0,1,0
4,"96;553",56,0,0,1,0
2,"96;553",56,0,0,1,0
3,"96;553",56,0,1,0,0
6,"96;555",33,0,0,0,1
3,"96;555",33,0,0,0,1
3,"96;555",33,0,0,0,1
1,"96;555",33,0,0,1,1
2,"96;555",33,0,0,1,1
1,"96;555",33,0,0,1,1
6,"96;555",33,0,1,0,0
2,"96;555",33,0,1,0,0
4,"96;555",33,0,1,0,0
3,"96;555",33,0,1,0,0
5,"96;555",33,0,1,0,0
3,"96;555",33,0,1,0,0
4,"96;555",33,0,1,0,0
7,"96;555",33,0,0,0,0
6,"96;555",33,0,0,0,0
5,"96;555",33,0,0,0,0
5,"96;555",33,0,0,0,0
3,"96;555",33,0,0,0,0
4,"96;555",33,0,1,1,0
2,"96;555",33,0,1,1,0
2,"96;555",33,0,1,1,0
2,"96;555",33,0,1,1,0
3,"96;555",33,0,1,1,0
5,"96;555",33,0,0,1,0
6,"96;555",33,0,0,1,0
3,"96;555",33,0,0,1,0
5,"96;555",33,0,0,1,0
5,"96;555",33,0,0,1,0
3,"96;555",33,0,0,1,0
3,"96;555",33,0,1,0,0
6,"96;558",61,1,0,0,1
5,"96;558",61,1,0,0,1
5,"96;558",61,1,0,0,1
2,"96;558",61,1,0,1,1
5,"96;558",61,1,0,1,1
1,"96;558",61,1,0,1,1
6,"96;558",61,1,1,0,0
5,"96;558",61,1,1,0,0
6,"96;558",61,1,1,0,0
6,"96;558",61,1,1,0,0
1,"96;558",61,1,1,0,0
3,"96;558",61,1,1,0,0
6,"96;558",61,1,1,0,0
6,"96;558",61,1,0,0,0
6,"96;558",61,1,0,0,0
6,"96;558",61,1,0,0,0
6,"96;558",61,1,0,0,0
6,"96;558",61,1,0,0,0
6,"96;558",61,1,1,1,0
6,"96;558",61,1,1,1,0
1,"96;558",61,1,1,1,0
6,"96;558",61,1,1,1,0
2,"96;558",61,1,1,1,0
6,"96;558",61,1,0,1,0
6,"96;558",61,1,0,1,0
4,"96;558",61,1,0,1,0
4,"96;558",61,1,0,1,0
6,"96;558",61,1,0,1,0
6,"96;558",61,1,0,1,0
6,"96;558",61,1,1,0,0
7,"96;560",65,0,0,0,1
4,"96;560",65,0,0,0,1
6,"96;560",65,0,0,0,1
2,"96;560",65,0,0,1,1
1,"96;560",65,0,0,1,1
1,"96;560",65,0,0,1,1
7,"96;560",65,0,1,0,0
2,"96;560",65,0,1,0,0
7,"96;560",65,0,1,0,0
7,"96;560",65,0,1,0,0
1,"96;560",65,0,1,0,0
1,"96;560",65,0,1,0,0
7,"96;560",65,0,1,0,0
7,"96;560",65,0,0,0,0
7,"96;560",65,0,0,0,0
7,"96;560",65,0,0,0,0
7,"96;560",65,0,0,0,0
1,"96;560",65,0,0,0,0
5,"96;560",65,0,1,1,0
1,"96;560",65,0,1,1,0
1,"96;560",65,0,1,1,0
6,"96;560",65,0,1,1,0
1,"96;560",65,0,1,1,0
6,"96;560",65,0,0,1,0
1,"96;560",65,0,0,1,0
7,"96;560",65,0,0,1,0
7,"96;560",65,0,0,1,0
7,"96;560",65,0,0,1,0
7,"96;560",65,0,0,1,0
5,"96;560",65,0,1,0,0
4,"96;562",47,0,0,0,1
6,"96;562",47,0,0,0,1
4,"96;562",47,0,0,0,1
1,"96;562",47,0,0,1,1
4,"96;562",47,0,0,1,1
2,"96;562",47,0,0,1,1
4,"96;562",47,0,1,0,0
6,"96;562",47,0,1,0,0
4,"96;562",47,0,1,0,0
6,"96;562",47,0,1,0,0
2,"96;562",47,0,1,0,0
