"survival","pclass","gender","age","parch"
0,"upper","male",19,0
0,"lower","male",22,0
0,"upper","female",3,1
1,"upper","female",22,0
0,"lower","male",27,2
0,"upper","male",20,0
0,"upper","male",19,0
1,"lower","female",42,0
1,"upper","female",1,2
0,"upper","male",32,0
1,"lower","female",35,0
0,"upper","male",1,2
1,"lower","male",36,2
1,"upper","male",21,0
0,"upper","male",28,0
1,"lower","female",23,0
1,"upper","female",24,2
0,"upper","male",22,0
0,"upper","female",31,0
1,"upper","male",39,0
0,"upper","male",26,0
0,"upper","female",21,0
0,"upper","male",28,0
0,"upper","female",20,0
0,"upper","male",51,0
0,"upper","male",21,0
1,"lower","female",33,0
1,"upper","male",44,0
0,"upper","female",10,2
0,"upper","male",21,0
0,"upper","male",29,0
0,"upper","female",28,1
0,"upper","male",18,1
1,"upper","male",32,0
1,"lower","male",28,0
0,"upper","male",17,0
0,"lower","male",50,0
1,"lower","female",14,2
0,"upper","female",21,2
0,"lower","male",64,4
0,"upper","male",20,0
0,"upper","male",25,0
1,"lower","male",4,2
1,"lower","male",34,0
1,"upper","female",5,1
1,"lower","male",52,0
0,"lower","male",30,0
1,"lower","male",49,0
1,"upper","male",29,0
0,"lower","male",65,0
1,"lower","male",48,0
0,"upper","male",34,0
0,"lower","male",47,0
0,"upper","male",38,0
0,"lower","male",56,0
1,"upper","female",0.75,1
0,"upper","male",38,0
0,"upper","female",22,0
0,"upper","male",29,0
0,"upper","male",22,0
1,"upper","female",2,1
0,"upper","male",9,2
0,"upper","male",50,0
1,"upper","female",63,0
1,"lower","male",25,0
1,"lower","female",35,0
0,"lower","male",58,0
0,"upper","male",30,0
1,"upper","male",9,1
0,"upper","male",21,0
0,"lower","male",55,0
0,"lower","male",71,0
0,"upper","male",21,0
1,"lower","female",54,0
0,"lower","female",25,2
0,"upper","male",24,0
0,"upper","male",17,0
0,"upper","female",21,0
0,"upper","female",37,0
1,"lower","female",16,0
0,"lower","male",18,0
0,"upper","male",28,0
1,"upper","male",26,0
1,"upper","male",29,0
1,"lower","male",36,0
1,"lower","female",54,0
0,"upper","male",24,0
0,"lower","male",47,0
0,"upper","male",32,0
1,"lower","female",30,0
0,"upper","male",22,0
1,"lower","female",44,1
0,"upper","male",40.5,0
0,"upper","male",39,0
0,"upper","male",17,1
0,"upper","female",30,0
0,"lower","male",45,0
1,"lower","female",30,0
1,"lower","female",22,2
1,"lower","female",36,2
0,"upper","female",9,2
0,"upper","female",11,2
0,"lower","male",50,0
0,"lower","male",64,0
0,"upper","male",33,1
1,"lower","male",17,2
1,"upper","male",22,0
1,"upper","female",22,0
0,"lower","male",62,0
1,"lower","female",48,0
1,"lower","female",39,1
1,"upper","female",36,0
0,"upper","male",40,0
0,"upper","male",24,0
0,"upper","male",19,0
0,"upper","female",29,4
1,"upper","male",32,0
1,"lower","female",53,0
1,"lower","male",36,0
0,"upper","male",16,0
0,"upper","male",19,0
1,"lower","female",39,0
1,"upper","male",32,0
1,"lower","female",39,1
0,"lower","male",36,0
1,"lower","female",18,2
1,"lower","male",60,1
0,"upper","male",22,0
0,"upper","male",35,0
1,"lower","female",52,0
0,"upper","male",47,0
0,"upper","male",36,1
0,"upper","male",49,0
1,"lower","male",49,0
0,"upper","male",44,0
1,"lower","male",35,0
0,"upper","male",36,0
0,"upper","male",30,0
1,"lower","male",27,0
1,"lower","female",40,0
0,"upper","female",39,5
0,"upper","male",35,0
0,"upper","male",34,1
0,"upper","female",26,0
0,"upper","male",27,0
1,"lower","male",42,0
1,"upper","male",20,1
0,"upper","male",21,0
0,"upper","male",21,0
0,"lower","male",61,0
1,"lower","female",21,0
0,"upper","male",26,0
1,"lower","male",80,0
0,"upper","male",51,0
1,"lower","male",32,0
0,"upper","female",9,2
0,"upper","male",32,0
0,"upper","female",41,5
0,"upper","male",20,0
1,"lower","female",24,0
0,"upper","female",2,2
1,"upper","female",0.75,1
1,"lower","male",48,0
0,"upper","male",19,0
1,"lower","male",56,0
1,"upper","female",23,0
0,"upper","male",21,0
0,"upper","female",18,0
0,"upper","female",32,1
0,"lower","male",58,2
1,"lower","male",50,0
0,"upper","male",40,0
0,"lower","male",47,0
0,"upper","male",36,0
1,"upper","male",20,0
0,"upper","male",43,0
0,"lower","male",31,0
0,"upper","male",18,0
0,"upper","male",24.5,0
1,"upper","female",18,0
0,"upper","female",43,6
1,"lower","male",36,1
1,"lower","male",27,0
0,"upper","male",20,0
0,"upper","male",14,2
0,"upper","male",14,1
0,"upper","male",19,0
0,"upper","male",18,0
1,"lower","female",15,1
1,"lower","male",31,0
1,"upper","female",4,1
0,"upper","male",25,0
0,"lower","male",60,0
0,"upper","male",44,0
0,"lower","male",49,1
0,"upper","male",42,0
1,"lower","female",18,0
1,"lower","male",35,0
0,"upper","female",18,1
0,"upper","male",25,0
0,"upper","male",26,0
1,"lower","male",42,0
1,"lower","female",22,0
1,"lower","female",24,0
1,"lower","male",48,0
0,"upper","male",29,0
0,"upper","male",19,0
1,"lower","female",38,0
0,"upper","male",33,0
0,"upper","male",17,0
1,"lower","male",27,0
0,"upper","male",20,0
0,"upper","female",25,0
1,"lower","female",29,0
0,"upper","male",11,0
0,"upper","male",28.5,0
0,"upper","female",48,3
1,"lower","male",35,0
0,"lower","male",36,0
1,"lower","female",21,2
0,"upper","male",24,0
1,"upper","male",31,0
0,"lower","male",70,1
0,"upper","male",16,1
0,"lower","male",19,0
0,"upper","male",31,0
1,"upper","male",6,1
0,"upper","male",33,0
0,"upper","male",23,0
0,"upper","male",28,0
0,"upper","male",34,0
1,"lower","female",33,0
0,"upper","male",41,0
1,"upper","male",20,0
1,"lower","female",36,2
0,"upper","male",16,0
1,"lower","female",51,0
0,"upper","female",30.5,0
0,"upper","male",32,0
0,"upper","male",24,0
0,"upper","male",48,0
0,"upper","male",18,0
1,"upper","female",5,0
1,"lower","female",43,1
1,"upper","female",13,0
1,"lower","female",17,0
0,"lower","male",29,0
0,"upper","male",25,0
0,"upper","male",25,0
1,"upper","female",18,0
0,"upper","male",8,1
1,"upper","male",1,2
0,"lower","male",46,0
0,"upper","male",25,0
1,"lower","female",49,0
1,"upper","female",31,0
0,"upper","male",30,0
0,"upper","female",30,1
1,"lower","male",11,2
1,"upper","male",0.42,1
1,"upper","male",27,0
0,"upper","male",31,0
0,"lower","male",39,0
0,"upper","female",18,0
1,"lower","female",33,0
0,"upper","male",26,0
0,"upper","male",39,0
0,"upper","female",6,2
0,"upper","male",30.5,0
0,"upper","female",23,0
0,"upper","male",43,0
0,"upper","male",10,2
1,"lower","female",52,1
1,"upper","male",27,0
0,"lower","male",38,0
1,"upper","female",27,1
0,"upper","male",2,1
1,"upper","female",15,0
0,"upper","male",23,0
0,"upper","male",18,0
1,"lower","female",39,1
0,"upper","male",21,0
1,"upper","male",32,0
0,"upper","male",20,0
1,"lower","female",30,0
0,"upper","male",34.5,0
0,"upper","male",17,0
0,"upper","male",42,0
0,"upper","male",35,0
0,"upper","male",4,2
0,"upper","male",74,0
0,"upper","female",9,1
1,"lower","female",16,1
1,"upper","female",18,1
1,"lower","female",45,1
1,"lower","male",51,0
1,"upper","female",24,3
0,"upper","male",41,0
1,"lower","female",48,0
0,"lower","male",31,0
1,"upper","male",4,1
0,"upper","male",26,0
1,"lower","female",47,1
0,"lower","male",33,0
0,"upper","male",47,0
1,"upper","female",15,0
0,"upper","male",20,0
0,"upper","male",19,0
1,"lower","female",56,1
0,"upper","male",33,0
0,"upper","female",22,0
0,"upper","male",25,0
0,"upper","female",39,5
1,"lower","female",19,0
1,"lower","male",26,0
0,"upper","male",32,0
